FeatureName,Cancer,Alveolar,Mesenchymal ,LAM Core,Airway Epithelial ,Immune1 ,Immune2
DRC1,0.050927788,0.031547937,0.031261862,0.019456333,1.44937318,0.097964735,0.029540294
FAM166B,0.091133937,0.074069069,0.080387645,0.05003057,2.06013524,0.122455919,0.073850735
SNTN,0.050927788,0.057609276,0.056569083,0.033353713,1.246840683,0.065309823,0.024616912
CFAP157,0.13804111,0.123448449,0.131002088,0.122296949,4.810146797,0.261239294,0.088620882
SCGB1A1,5.465355791,4.976344139,5.490178402,5.631218587,191.8837178,10.00056672,2.944182646
MUC4,0.097834961,0.172827828,0.087830945,0.05003057,1.21203041,0.106128463,0.078774118
TMEM190,0.091133937,0.079555667,0.071455684,0.077825331,2.639251598,0.138783375,0.019693529
WDR38,0.040206149,0.02468969,0.041682482,0.030574237,1.015827054,0.065309823,0.014770147
SAXO2,0.067010248,0.09738711,0.092296925,0.06392795,1.768994776,0.19592947,0.064003971
TEKT1,0.045566968,0.04937938,0.040193822,0.05003057,1.601272552,0.089801007,0.029540294
RP1,0.103195781,0.137164943,0.113138167,0.108399568,3.167734832,0.138783375,0.078774118
CFAP45,0.076391682,0.09601546,0.062523724,0.066707426,1.8196279,0.228584382,0.073850735
OSCAR,1.22896794,0.60352575,0.439154726,0.177886471,0.477850109,0.702080602,0.580959117
C11orf88,0.046907173,0.035662885,0.038705162,0.044471618,1.354436072,0.089801007,0.039387059
DNAAF1,0.054948403,0.098758759,0.077410325,0.072266379,2.047476959,0.146947103,0.068927353
DNAH3,0.028144304,0.032919586,0.037216502,0.033353713,1.037979046,0.04081864,0.019693529
SPAG17,0.042886558,0.035662885,0.031261862,0.038912665,1.170890997,0.048982368,0.024616912
RSPH1,0.109896806,0.159111334,0.141422708,0.144532757,3.949383686,0.212256926,0.064003971
SPP1,1.212885481,0.412866479,0.282845417,0.155650662,0.332279877,0.400022669,0.295402941
CHIT1,18.49750874,7.265627042,4.838145284,2.623825442,5.117110113,7.714722898,6.060683674
SLC11A1,3.035564214,1.393595823,1.076301243,0.475290414,1.034814475,1.934803521,1.053603823
CCDC78,0.184948283,0.123448449,0.133979408,0.130635377,3.180393113,0.228584382,0.0836975
OLR1,2.161750586,1.076744804,0.754750664,0.344655037,0.699370028,1.167413095,0.758200882
PTPRT,0.091133937,0.082298966,0.072944344,0.105620092,2.844948665,0.155110831,0.059080588
C6orf118,0.020103074,0.032919586,0.044659803,0.044471618,1.234182402,0.081637279,0.024616912
MAPK15,0.249278121,0.285303082,0.250094895,0.197342803,4.199384737,0.285730478,0.123084559
CFAP65,0.024123689,0.030176288,0.038705162,0.041692142,1.09177674,0.114292191,0.004923382
FGR,4.050099363,1.999864872,1.466330186,0.70598693,1.430385758,2.179715359,2.057973823
PLA2G7,1.285256548,0.569234514,0.387051623,0.208460708,0.449368977,0.644934507,0.605576029
HK3,1.211545276,0.551403072,0.455529987,0.200122279,0.332279877,0.71024433,0.487414853
ELF3,0.580308744,0.898430378,0.611839296,0.294624467,3.310140493,0.832700249,0.615422794
BCL2A1,1.22628753,0.521226784,0.378119662,0.200122279,0.389242142,0.661261963,0.541572059
AC007906.2,0.159484389,0.14402319,0.16375261,0.191783851,4.563310317,0.351040301,0.093544265
LRRC46,0.077731887,0.07269742,0.087830945,0.091722711,2.148743208,0.171438287,0.039387059
FBP1,6.924838983,3.581376667,2.788260344,1.317471673,2.930392062,4.277793438,3.037726911
LYZ,36.38790463,19.62693172,13.79243571,6.923674975,14.48423809,21.13589162,20.79636705
MARCO,4.8180368,2.24676177,1.583934333,0.836622307,1.610766263,2.604229211,1.565635588
ABCC3,1.50505016,0.809273165,0.626725897,0.297403943,0.863927681,0.857191433,0.748354117
NCF2,2.417729732,1.270147374,0.85300223,0.447495653,0.750003152,1.232722918,1.112684411
ITGAX,7.715559904,3.706196765,2.584313912,1.420312289,3.03165831,4.261465982,3.722077058
KLHL6,1.346905976,0.685824716,0.568668153,0.286286039,1.151903575,0.881682617,0.827128235
S100A9,6.541540367,4.017561186,2.590268552,1.323030626,2.66456816,4.383921901,2.855561764
TREM2,1.948657999,1.01502058,0.619282596,0.369670322,0.803800846,1.249050374,0.871438676
EFCAB10,0.025463894,0.042521132,0.026795882,0.044471618,1.075953889,0.048982368,0.019693529
ZBBX,0.048247378,0.027432989,0.046148463,0.052810046,1.234182402,0.097964735,0.029540294
C20orf85,0.12731947,0.113846903,0.122070127,0.158430138,3.620268379,0.146947103,0.064003971
CFAP43,0.084432912,0.069954121,0.061035064,0.080604807,1.753171925,0.146947103,0.068927353
TM4SF19,1.724843772,0.534943278,0.397472243,0.26405023,0.560128936,0.71024433,0.413564118
CAPS,0.8121642,0.647418532,0.68478364,0.617043695,11.66460598,0.906173801,0.516955147
TUBA4B,0.030824714,0.035662885,0.028284542,0.044471618,1.101270451,0.04081864,0
NECAB2,0.217113202,0.21809226,0.50614443,1.567624523,0.085443397,0.408186397,0.265862647
LGI2,0.309587344,0.26472834,0.638635177,1.906720607,0.148734802,0.400022669,0.265862647
PTGER3,0.446288249,0.401893284,1.02866412,3.012952097,0.186709645,0.767390426,0.521878529
CPA6,0.197010128,0.203004116,0.413847504,1.309133245,0.139241092,0.359204029,0.147701471
IGFN1,1.031957812,1.01364893,2.38483346,6.729111648,0.490508391,1.747037778,0.861591911
ADAMTS5,0.255979146,0.297647927,0.592486715,1.759408374,0.164557654,0.530642316,0.310173088
PCP4,0.360515132,0.356628852,0.836626969,2.204124551,0.174051364,0.653098235,0.364330294
ANO3,0.599071613,0.551403072,1.408272443,3.582744698,0.294305034,0.832700249,0.571112353
HOXD10,0.238556481,0.220835559,0.51656505,1.348045911,0.12658281,0.23674811,0.162471618
TMOD1,1.176699947,1.176875213,3.057707819,7.515703386,0.794307136,1.934803521,1.137301323
PRLR,0.243917301,0.190659271,0.495723809,1.295235865,0.082278827,0.342876573,0.226475588
OGN,3.597110089,3.420893684,8.643160467,21.96619965,1.911400438,5.690118371,3.490678087
MRVI1,1.246390605,1.213909747,3.026445957,7.490688101,0.825952838,2.000113344,1.378547058
ALDH1A2,0.152783364,0.164597932,0.480837208,1.100672537,0.104430819,0.400022669,0.152624853
SLC2A4,0.168865824,0.176942777,0.415336164,1.05620092,0.183545075,0.351040301,0.182165147
SLC7A2,0.218453407,0.197517518,0.378119662,1.078436728,0.278482183,0.326549117,0.182165147
ESR1,0.361855337,0.309992772,0.861934191,1.853910561,0.202532497,0.416350125,0.369253676
TNFAIP8L3,0.501236652,0.543173175,1.164132188,2.671076536,0.322786167,0.653098235,0.571112353
PLN,0.385979026,0.426582973,0.827695009,2.115181315,0.24367191,0.506151132,0.374177059
HOXA10,0.235876071,0.240038651,0.601418675,1.289676912,0.12658281,0.367367757,0.295402941
TMEM200B,0.218453407,0.227693806,0.439154726,1.075657252,0.142405662,0.318385389,0.192011912
ARMC9,0.997112484,0.94232316,2.099010723,4.833508945,0.72785116,1.249050374,0.955136176
VEGFD,0.808143586,1.01364893,1.716425081,4.160875728,0.680382606,1.085775815,0.930519264
ATRNL1,0.357834722,0.382690192,0.793455827,1.787203135,0.205697067,0.449005036,0.369253676
SYTL4,0.427525379,0.423839675,0.878309452,2.048473889,0.265823902,0.604115867,0.443104412
CNN1,1.450101757,1.47315149,3.196153207,7.479570196,0.984181351,2.106241807,1.48686147
AHNAK2,0.28412345,0.322337617,0.669897039,1.423091765,0.212026208,0.489823676,0.211705441
MYLK,7.036075994,7.175098179,14.93721532,33.673353,4.294321845,10.04138536,6.818884556
ACTA2,16.05699552,16.72452152,37.38769809,82.934008,14.12664165,27.07908556,16.00591602
ADAMTS19,0.292164679,0.263356691,0.704136221,1.386958576,0.167722224,0.351040301,0.31509647
PRUNE2,0.577628334,0.599410802,1.397851822,3.057423715,0.829117408,0.881682617,0.536648676
PCDH7,0.285463655,0.31410772,0.626725897,1.475901811,0.35759644,0.47349622,0.320019853
DACT3,0.298865704,0.293532978,0.546338252,1.267441103,0.199367926,0.285730478,0.265862647
JPH2,0.233195662,0.279816484,0.553781552,1.278559008,0.294305034,0.440841308,0.285556176
FBXO32,0.670102476,0.776353579,1.606264234,3.418755608,0.531647804,1.347015109,0.782817794
HSPB7,0.296185294,0.326452565,0.722000142,1.445327574,0.177215935,0.416350125,0.260939265
MYL9,16.42555188,18.07833951,35.5000771,80.5492175,13.52220873,25.62594199,15.80898073
FHL2,0.192989513,0.219463909,0.51656505,1.095113585,0.344938158,0.367367757,0.2510925
TGFBR3,0.459690298,0.567862865,0.915525954,2.259714073,0.408229564,0.718408058,0.580959117
CSDC2,0.221133817,0.252383495,0.592486715,1.13402625,0.167722224,0.375531485,0.2510925
GREM1,1.609586146,1.604829835,4.056598738,7.649118239,0.933548227,2.669539035,1.733030588
PDE3A,0.225154432,0.223578857,0.477859888,1.050641967,0.183545075,0.302057934,0.231398971
RAMP1,0.510618086,0.523970083,1.314486857,2.473733733,0.382913002,0.857191433,0.467721323
TAGLN,5.982674902,6.210828628,13.09127681,28.36455364,5.041160426,8.808662442,5.937599116
S1PR3,0.380618206,0.38680514,0.747307364,1.681583043,0.392406712,0.571460955,0.285556176
FGF7,0.435566609,0.519855135,0.900639353,2.017899652,0.354431869,0.636770779,0.521878529
GAS1,0.26536058,0.282559783,0.462973287,1.103452013,0.202532497,0.400022669,0.226475588
FBXL7,0.221133817,0.283931432,0.485303188,1.081216205,0.199367926,0.326549117,0.280632794
HAND2,0.485154192,0.48419225,1.155200228,2.173550313,0.208861637,0.71024433,0.472644706
PALLD,1.421957453,1.463549944,2.999650076,6.301072328,1.268992675,2.065423168,1.541018676
